image_id	image_path	image_pt_path	graylevel	original_height	original_width	transcription	transcription_len
a06-014-03	./data/lines/a06/a06-014/a06-014-03.png	./data/lines/a06/a06-014/a06-014-03.pt	160	167	1835	Treasury|experts|are|already|working|on	39
a06-014-04	./data/lines/a06/a06-014/a06-014-04.png	./data/lines/a06/a06-014/a06-014-04.pt	163	138	1894	the|scheme|.|Profits|of|genuine|investors	41
a06-014-05	./data/lines/a06/a06-014/a06-014-05.png	./data/lines/a06/a06-014/a06-014-05.pt	160	159	1929	in|industry|will|not|be|affected|,|but|only	43
a06-014-06	./data/lines/a06/a06-014/a06-014-06.png	./data/lines/a06/a06-014/a06-014-06.pt	160	162	1717	quick|in-and-out|speculator|deals|.	35
a06-014-07	./data/lines/a06/a06-014/a06-014-07.png	./data/lines/a06/a06-014/a06-014-07.pt	160	144	1809	FRANK|FOULKES|,|Communist|president	35
a06-014-08	./data/lines/a06/a06-014/a06-014-08.png	./data/lines/a06/a06-014/a06-014-08.pt	160	134	1555	of|the|ETU|,|refused|yesterday|to	33
a06-014-09	./data/lines/a06/a06-014/a06-014-09.png	./data/lines/a06/a06-014/a06-014-09.pt	160	121	1621	"|commit|suicide|"|at|the|TUC's	31
a06-014-10	./data/lines/a06/a06-014/a06-014-10.png	./data/lines/a06/a06-014/a06-014-10.pt	156	117	529	invitation|.	12
a06-020-05	./data/lines/a06/a06-020/a06-020-05.png	./data/lines/a06/a06-020/a06-020-05.pt	179	62	963	I|should|commit|hara-kiri|.	27
a06-025-00	./data/lines/a06/a06-025/a06-025-00.png	./data/lines/a06/a06-025/a06-025-00.pt	176	123	1790	The|other|TUC|demands|:|Five|leading	36
a06-025-08	./data/lines/a06/a06-025/a06-025-08.png	./data/lines/a06/a06-025/a06-025-08.pt	169	58	476	committees|.	12
a06-036-00	./data/lines/a06/a06-036/a06-036-00.png	./data/lines/a06/a06-036/a06-036-00.pt	156	174	1631	The|small|rocket|craft|,|for|destroying|big	43
a06-036-01	./data/lines/a06/a06-036/a06-036-01.png	./data/lines/a06/a06-036/a06-036-01.pt	154	178	1716	ships|,|are|controlled|automatically|,|even	43
a06-036-02	./data/lines/a06/a06-036/a06-036-02.png	./data/lines/a06/a06-036/a06-036-02.pt	154	165	1700	to|the|preparations|for|launching|their	39
a06-036-03	./data/lines/a06/a06-036/a06-036-03.png	./data/lines/a06/a06-036/a06-036-03.pt	154	176	1873	rockets|.|Applauding|on|the|river|banks|at	42
a06-036-04	./data/lines/a06/a06-036/a06-036-04.png	./data/lines/a06/a06-036/a06-036-04.pt	154	164	1882	Leningrad|were|thousands|now|told|that|in	41
a06-036-05	./data/lines/a06/a06-036/a06-036-05.png	./data/lines/a06/a06-036/a06-036-05.pt	152	183	2002	20|years|they|will|have|free|food|,|housing|,|light|,	53
a06-036-06	./data/lines/a06/a06-036/a06-036-06.png	./data/lines/a06/a06-036/a06-036-06.pt	152	155	1890	heat|,|transport|and|medical|treatment|-|all	44
a06-036-07	./data/lines/a06/a06-036/a06-036-07.png	./data/lines/a06/a06-036/a06-036-07.pt	152	165	1802	for|a|working|week|of|34|to|36|hours|.	38
a06-039-00	./data/lines/a06/a06-039/a06-039-00.png	./data/lines/a06/a06-039/a06-039-00.pt	191	144	1641	"|The|whole|naval|might|of|the|Soviet	37
a06-039-01	./data/lines/a06/a06-039/a06-039-01.png	./data/lines/a06/a06-039/a06-039-01.pt	188	127	1753	Union|can|be|seen|here|-|a|truly|inspiring	42
a06-039-02	./data/lines/a06/a06-039/a06-039-02.png	./data/lines/a06/a06-039/a06-039-02.pt	188	127	1825	and|proud|sight|,|"|said|Moscow|radio's	39
a06-039-03	./data/lines/a06/a06-039/a06-039-03.png	./data/lines/a06/a06-039/a06-039-03.pt	186	139	1825	commentator|.|The|parade|was|reviewed|by	40
a06-039-04	./data/lines/a06/a06-039/a06-039-04.png	./data/lines/a06/a06-039/a06-039-04.pt	183	147	1873	Marshal|Andrei|Grechko|,|commanding|the	39
a06-039-05	./data/lines/a06/a06-039/a06-039-05.png	./data/lines/a06/a06-039/a06-039-05.pt	185	127	1780	forces|of|the|Warsaw|Pact|countries|-	37
a06-039-07	./data/lines/a06/a06-039/a06-039-07.png	./data/lines/a06/a06-039/a06-039-07.pt	183	141	1833	carrying|atomic|submarines|now|formed	37
a06-044-01	./data/lines/a06/a06-044/a06-044-01.png	./data/lines/a06/a06-044/a06-044-01.pt	165	126	1910	and|added|:|"|It|is|the|most|disastrous|thing|any|Prime	55
a06-044-02	./data/lines/a06/a06-044/a06-044-02.png	./data/lines/a06/a06-044/a06-044-02.pt	162	146	1711	Minister|has|done|for|many|,|many|generations|.|"|He	52
a06-044-04	./data/lines/a06/a06-044/a06-044-04.png	./data/lines/a06/a06-044/a06-044-04.pt	165	137	1930	would|be|to|resign|.|"|The|outburst|shocked|MPs|of	50
a06-044-05	./data/lines/a06/a06-044/a06-044-05.png	./data/lines/a06/a06-044/a06-044-05.pt	162	154	1847	all|parties|.|Even|close|friends|were|signalling|Mr.|Fell	57
a06-044-06	./data/lines/a06/a06-044/a06-044-06.png	./data/lines/a06/a06-044/a06-044-06.pt	162	121	278	to|stop|.	9
a06-051-00	./data/lines/a06/a06-051/a06-051-00.png	./data/lines/a06/a06-051/a06-051-00.pt	150	130	1658	There|were|loud|cries|of|"|shame|"|from	39
a06-051-01	./data/lines/a06/a06-051/a06-051-01.png	./data/lines/a06/a06-051/a06-051-01.pt	150	131	1678	all|parts|of|the|Conservative|side|.|Mr.	40
a06-051-03	./data/lines/a06/a06-051/a06-051-03.png	./data/lines/a06/a06-051/a06-051-03.pt	150	134	1805	down|.|A|few|minutes|later|,|Mr.|Fell|got|up	44
a06-051-04	./data/lines/a06/a06-051/a06-051-04.png	./data/lines/a06/a06-051/a06-051-04.pt	148	114	1704	and|left|the|chamber|.|He|returned|five	39
a06-051-05	./data/lines/a06/a06-051/a06-051-05.png	./data/lines/a06/a06-051/a06-051-05.pt	148	137	1686	minutes|later|to|stand|just|inside|the	38
a06-051-06	./data/lines/a06/a06-051/a06-051-06.png	./data/lines/a06/a06-051/a06-051-06.pt	148	133	1819	doorway|looking|more|composed|.|In|the	38
a06-051-07	./data/lines/a06/a06-051/a06-051-07.png	./data/lines/a06/a06-051/a06-051-07.pt	148	130	1799	middle|of|the|amazing|scene|,|Mr.|Macmillan	43
a06-051-08	./data/lines/a06/a06-051/a06-051-08.png	./data/lines/a06/a06-051/a06-051-08.pt	145	97	1207	waved|his|hand|at|Mr.|Fell|.	28
a06-057-05	./data/lines/a06/a06-057/a06-057-05.png	./data/lines/a06/a06-057/a06-057-05.pt	157	115	1200	Minister|is|a|national|disaster|,|"|he|said|.	45
a06-064-06	./data/lines/a06/a06-064/a06-064-06.png	./data/lines/a06/a06-064/a06-064-06.pt	181	112	1694	of|such|ferocity|.|But|there|was|ample	38
a06-064-09	./data/lines/a06/a06-064/a06-064-09.png	./data/lines/a06/a06-064/a06-064-09.pt	181	109	1630	debate|tomorrow|and|on|Thursday|.	33
a06-070-02	./data/lines/a06/a06-070/a06-070-02.png	./data/lines/a06/a06-070/a06-070-02.pt	189	122	1625	Government|could|join|the|European|Economic	43
a06-070-03	./data/lines/a06/a06-070/a06-070-03.png	./data/lines/a06/a06-070/a06-070-03.pt	189	122	1645	Community|without|prior|negotiation|with|a|view	47
a06-070-04	./data/lines/a06/a06-070/a06-070-04.png	./data/lines/a06/a06-070/a06-070-04.pt	185	125	1774	to|meeting|the|needs|of|the|Commonwealth|countries|,	52
a06-070-05	./data/lines/a06/a06-070/a06-070-05.png	./data/lines/a06/a06-070/a06-070-05.pt	183	114	1724	of|our|European|Free|Trade|Association|partners	47
a06-070-06	./data/lines/a06/a06-070/a06-070-06.png	./data/lines/a06/a06-070/a06-070-06.pt	187	120	1723	and|of|British|agriculture|.|"|Near|the|end|of|a	48
a06-070-07	./data/lines/a06/a06-070/a06-070-07.png	./data/lines/a06/a06-070/a06-070-07.pt	189	138	1606	long|statement|,|Mr.|Macmillan|stated|the	41
a06-070-08	./data/lines/a06/a06-070/a06-070-08.png	./data/lines/a06/a06-070/a06-070-08.pt	183	69	891	Government's|intention|:	24
a06-075-00	./data/lines/a06/a06-075/a06-075-00.png	./data/lines/a06/a06-075/a06-075-00.pt	157	162	1706	"|After|long|and|earnest|consideration|,|Her	44
a06-075-01	./data/lines/a06/a06-075/a06-075-01.png	./data/lines/a06/a06-075/a06-075-01.pt	157	189	1778	Majesty's|Government|have|come|to|the	37
a06-075-02	./data/lines/a06/a06-075/a06-075-02.png	./data/lines/a06/a06-075/a06-075-02.pt	157	136	1771	conclusion|that|it|would|be|right|for	37
a06-075-03	./data/lines/a06/a06-075/a06-075-03.png	./data/lines/a06/a06-075/a06-075-03.pt	157	171	1789	Britain|to|make|a|formal|application|.|.	40
a06-075-04	./data/lines/a06/a06-075/a06-075-04.png	./data/lines/a06/a06-075/a06-075-04.pt	157	204	1839	for|negotiations|with|a|view|to|joining	39
a06-075-05	./data/lines/a06/a06-075/a06-075-05.png	./data/lines/a06/a06-075/a06-075-05.pt	157	165	1914	the|Community|.|"|At|this|point|,|Mr.|Paul	42
a06-075-08	./data/lines/a06/a06-075/a06-075-08.png	./data/lines/a06/a06-075/a06-075-08.pt	157	198	1017	associate|of|Mr.|Fell|.	23
a06-090-03	./data/lines/a06/a06-090/a06-090-03.png	./data/lines/a06/a06-090/a06-090-03.pt	194	122	1897	"|We|can|lead|better|from|within|,|"|he|said|.	46
a06-090-08	./data/lines/a06/a06-090/a06-090-08.png	./data/lines/a06/a06-090/a06-090-08.pt	194	136	1809	behind|the|Serjeant|at|Arms'|chair|.	36
a06-095-00	./data/lines/a06/a06-095/a06-095-00.png	./data/lines/a06/a06-095/a06-095-00.pt	182	139	1897	Mr.|Macmillan|said|we|could|be|more|help	40
a06-095-01	./data/lines/a06/a06-095/a06-095-01.png	./data/lines/a06/a06-095/a06-095-01.pt	182	149	1814	to|the|Commonwealth|through|the	31
a06-095-02	./data/lines/a06/a06-095/a06-095-02.png	./data/lines/a06/a06-095/a06-095-02.pt	183	185	2041	strength|we|would|gain|in|the|Common	36
a06-095-03	./data/lines/a06/a06-095/a06-095-03.png	./data/lines/a06/a06-095/a06-095-03.pt	183	183	1871	Market|than|by|isolation|.|He|paid	34
a06-095-04	./data/lines/a06/a06-095/a06-095-04.png	./data/lines/a06/a06-095/a06-095-04.pt	187	173	1901	tribute|to|the|development|of|the	33
a06-095-05	./data/lines/a06/a06-095/a06-095-05.png	./data/lines/a06/a06-095/a06-095-05.pt	182	175	1701	Common|Market|.|"|The|Community	31
a06-095-07	./data/lines/a06/a06-095/a06-095-07.png	./data/lines/a06/a06-095/a06-095-07.pt	183	175	1887	impetus|and|an|economic|growth	30
a06-095-08	./data/lines/a06/a06-095/a06-095-08.png	./data/lines/a06/a06-095/a06-095-08.pt	183	178	1923	to|The|Six|.|Above|all|,|it|is|an|idea	38
a06-095-09	./data/lines/a06/a06-095/a06-095-09.png	./data/lines/a06/a06-095/a06-095-09.pt	182	199	1727	which|has|gripped|men's|minds|,|"	33
a06-095-10	./data/lines/a06/a06-095/a06-095-10.png	./data/lines/a06/a06-095/a06-095-10.pt	182	131	464	he|said|.	9
a06-100-00	./data/lines/a06/a06-100/a06-100-00.png	./data/lines/a06/a06-100/a06-100-00.pt	182	117	1820	Referring|to|previous|negotiations|,|Mr.|Macmillan|looked|towards	65
a06-100-02	./data/lines/a06/a06-100/a06-100-02.png	./data/lines/a06/a06-100/a06-100-02.pt	182	145	1709	President|of|the|Board|of|Trade|played|a|conspicuous|part|,|"|the	65
a06-100-04	./data/lines/a06/a06-100/a06-100-04.png	./data/lines/a06/a06-100/a06-100-04.pt	182	132	1812	swamped|by|cheap|labour|.|Our|industry|,|he|said|,|would	56
a06-100-05	./data/lines/a06/a06-100/a06-100-05.png	./data/lines/a06/a06-100/a06-100-05.pt	182	142	1796	probably|gain|.|"|Many|people|feel|we|have|had|,|perhaps|,|too	62
a06-100-06	./data/lines/a06/a06-100/a06-100-06.png	./data/lines/a06/a06-100/a06-100-06.pt	182	98	880	much|shelter|,|"|he|went|on|.	29
a06-110-00	./data/lines/a06/a06-110/a06-110-00.png	./data/lines/a06/a06-110/a06-110-00.pt	176	126	1630	Conservatives|protested|when	28
a06-110-01	./data/lines/a06/a06-110/a06-110-01.png	./data/lines/a06/a06-110/a06-110-01.pt	178	167	1776	Mr.|Gaitskell|said|he|had|been	30
a06-110-03	./data/lines/a06/a06-110/a06-110-03.png	./data/lines/a06/a06-110/a06-110-03.pt	177	164	1729	of|considerable|authority|,|"|he	32
a06-110-04	./data/lines/a06/a06-110/a06-110-04.png	./data/lines/a06/a06-110/a06-110-04.pt	176	154	1792	retorted|.|"|I|agree|with|the|Prime	35
a06-110-05	./data/lines/a06/a06-110/a06-110-05.png	./data/lines/a06/a06-110/a06-110-05.pt	175	115	1780	Minister|that|I|do|not|think	28
a06-110-06	./data/lines/a06/a06-110/a06-110-06.png	./data/lines/a06/a06-110/a06-110-06.pt	175	144	1750	we|are|necessarily|bound|for	28
a06-110-08	./data/lines/a06/a06-110/a06-110-08.png	./data/lines/a06/a06-110/a06-110-08.pt	171	56	142	on|.	4
a06-114-00	./data/lines/a06/a06-114/a06-114-00.png	./data/lines/a06/a06-114/a06-114-00.pt	178	127	1838	If|we|joined|the|Common|Market|,|our	36
a06-114-01	./data/lines/a06/a06-114/a06-114-01.png	./data/lines/a06/a06-114/a06-114-01.pt	177	156	1648	food|subsidies|would|probably|be	32
a06-114-03	./data/lines/a06/a06-114/a06-114-03.png	./data/lines/a06/a06-114/a06-114-03.pt	177	141	1910	will|mean|a|rise|in|the|cost|of|living|.|"	42
a06-114-04	./data/lines/a06/a06-114/a06-114-04.png	./data/lines/a06/a06-114/a06-114-04.pt	176	125	1602	BUDGETTE|or|no|Budgette|YOU|are	31
a06-114-05	./data/lines/a06/a06-114/a06-114-05.png	./data/lines/a06/a06-114/a06-114-05.pt	174	129	1835	spending|more|as|the|summer|holiday	35
a06-114-06	./data/lines/a06/a06-114/a06-114-06.png	./data/lines/a06/a06-114/a06-114-06.pt	175	96	1368	season|moves|into|top|gear|.	28
a06-114-07	./data/lines/a06/a06-114/a06-114-07.png	./data/lines/a06/a06-114/a06-114-07.pt	175	168	1882	On|the|eve|of|August|Bank|Holiday	33
a06-114-08	./data/lines/a06/a06-114/a06-114-08.png	./data/lines/a06/a06-114/a06-114-08.pt	176	134	1645	the|spending|spree|is|at|a|new	30
a06-114-09	./data/lines/a06/a06-114/a06-114-09.png	./data/lines/a06/a06-114/a06-114-09.pt	173	113	809	all-time|peak|.	15
a06-119-00	./data/lines/a06/a06-119/a06-119-00.png	./data/lines/a06/a06-119/a06-119-00.pt	182	128	1751	Note|circulation|soared|for|the	31
a06-119-03	./data/lines/a06/a06-119/a06-119-03.png	./data/lines/a06/a06-119/a06-119-03.pt	182	151	1721	week|.|And|that|brought|the|figure	34
a06-119-05	./data/lines/a06/a06-119/a06-119-05.png	./data/lines/a06/a06-119/a06-119-05.pt	182	167	1955	100,000,000|more|than|the|corresponding	39
a06-119-08	./data/lines/a06/a06-119/a06-119-08.png	./data/lines/a06/a06-119/a06-119-08.pt	182	118	1799	Now|look|at|the|other|side|of|all	33
a06-124-05	./data/lines/a06/a06-124/a06-124-05.png	./data/lines/a06/a06-124/a06-124-05.pt	179	103	1419	form|of|special|deposits|with|the|Bank|of|England|.	51
a06-128-00	./data/lines/a06/a06-128/a06-128-00.png	./data/lines/a06/a06-128/a06-128-00.pt	191	138	1575	Banks|have|paid|in|a|first	26
a06-128-02	./data/lines/a06/a06-128/a06-128-02.png	./data/lines/a06/a06-128/a06-128-02.pt	191	170	1811	in|response|to|the|Budgette|appeal|.	36
a06-128-03	./data/lines/a06/a06-128/a06-128-03.png	./data/lines/a06/a06-128/a06-128-03.pt	191	114	1806	About|another|70,000,000|is|due	31
a06-128-04	./data/lines/a06/a06-128/a06-128-04.png	./data/lines/a06/a06-128/a06-128-04.pt	186	139	1858	by|September|20|.|For|nearly|a|year	35
a06-128-05	./data/lines/a06/a06-128/a06-128-05.png	./data/lines/a06/a06-128/a06-128-05.pt	186	127	1866	about|150,000,000|has|been|frozen|.	35
a06-128-06	./data/lines/a06/a06-128/a06-128-06.png	./data/lines/a06/a06-128/a06-128-06.pt	186	160	1760	MR.|KRUSCHEV|raises|the|bogy|of	31
a06-128-07	./data/lines/a06/a06-128/a06-128-07.png	./data/lines/a06/a06-128/a06-128-07.pt	186	141	1889	German|militarism|in|his|replies|to	35
a06-128-09	./data/lines/a06/a06-128/a06-128-09.png	./data/lines/a06/a06-128/a06-128-09.pt	182	134	1869	that|the|problem|"|must|be|solved	33
a06-128-10	./data/lines/a06/a06-128/a06-128-10.png	./data/lines/a06/a06-128/a06-128-10.pt	186	135	731	this|year|.|"	13
a06-141-06	./data/lines/a06/a06-141/a06-141-06.png	./data/lines/a06/a06-141/a06-141-06.pt	179	53	572	generals|and|officers|.	23
a06-152-02	./data/lines/a06/a06-152/a06-152-02.png	./data/lines/a06/a06-152/a06-152-02.pt	182	144	1833	on|East|Germany|the|regime|existing|in	38
a06-152-03	./data/lines/a06/a06-152/a06-152-03.png	./data/lines/a06/a06-152/a06-152-03.pt	182	146	1857	West|Germany|.|REFUGEES|are|pouring|out	39
a06-152-05	./data/lines/a06/a06-152/a06-152-05.png	./data/lines/a06/a06-152/a06-152-05.pt	182	124	1626	Berlin|faster|than|ever|.|Mr.|K's|latest	40
a06-152-06	./data/lines/a06/a06-152/a06-152-06.png	./data/lines/a06/a06-152/a06-152-06.pt	182	124	1633	speech|scared|1,157|East|Germans|to	35
a06-152-08	./data/lines/a06/a06-152/a06-152-08.png	./data/lines/a06/a06-152/a06-152-08.pt	182	117	1743	DURING|MONDAY|NIGHT|.|And|officials	35
a06-152-09	./data/lines/a06/a06-152/a06-152-09.png	./data/lines/a06/a06-152/a06-152-09.pt	182	110	1439	expect|the|total|to|leap|to	27
a06-152-10	./data/lines/a06/a06-152/a06-152-10.png	./data/lines/a06/a06-152/a06-152-10.pt	182	149	648	3,000|a|day|.	13
b01-004-07	./data/lines/b01/b01-004/b01-004-07.png	./data/lines/b01/b01-004/b01-004-07.pt	191	60	450	not|clear-cut|.	15
b01-009-00	./data/lines/b01/b01-009/b01-009-00.png	./data/lines/b01/b01-009/b01-009-00.pt	191	103	1633	The|Archbishop|has|long|been|a|courageous	41
b01-009-04	./data/lines/b01/b01-009/b01-009-04.png	./data/lines/b01/b01-009/b01-009-04.pt	191	95	1501	South|Africa|,|weakening|the|whites|who|are	43
b01-009-07	./data/lines/b01/b01-009/b01-009-07.png	./data/lines/b01/b01-009/b01-009-07.pt	182	65	238	Africans|.	10
b01-014-01	./data/lines/b01/b01-014/b01-014-01.png	./data/lines/b01/b01-014/b01-014-01.pt	182	116	1767	Africa|while|she|remains|in|the|Commonwealth	44
b01-014-03	./data/lines/b01/b01-014/b01-014-03.png	./data/lines/b01/b01-014/b01-014-03.pt	182	115	1805	On|the|other|hand|,|those|who|favour|expulsion|,|inclu-	55
b01-014-04	./data/lines/b01/b01-014/b01-014-04.png	./data/lines/b01/b01-014/b01-014-04.pt	176	165	1764	ding|African|leaders|,|feel|that|nothing|less|than|the	54
b01-014-05	./data/lines/b01/b01-014/b01-014-05.png	./data/lines/b01/b01-014/b01-014-05.pt	176	171	1619	shock|of|expulsion|will|weaken|the|grip|of|Dr.	46
b01-014-08	./data/lines/b01/b01-014/b01-014-08.png	./data/lines/b01/b01-014/b01-014-08.pt	176	114	754	the|apartheid|policy|.	22
b01-018-00	./data/lines/b01/b01-018/b01-018-00.png	./data/lines/b01/b01-018/b01-018-00.pt	182	201	1797	THE|Commonwealth|is|a|multi-racial|society|.|A	46
b01-018-01	./data/lines/b01/b01-018/b01-018-01.png	./data/lines/b01/b01-018/b01-018-01.pt	182	159	1757	policy|of|racial|discrimination|in|any|of|its|countries	55
b01-018-03	./data/lines/b01/b01-018/b01-018-03.png	./data/lines/b01/b01-018/b01-018-03.pt	182	169	1591	Whatever|statesmen|say|at|the|conference|table|in	49
b01-018-04	./data/lines/b01/b01-018/b01-018-04.png	./data/lines/b01/b01-018/b01-018-04.pt	182	179	1733	London|,|millions|at|home|would|regard|as|fraudulent	52
b01-018-06	./data/lines/b01/b01-018/b01-018-06.png	./data/lines/b01/b01-018/b01-018-06.pt	182	134	1667	South|Africa|.|And|this|is|a|Commonwealth|in	44
b01-018-07	./data/lines/b01/b01-018/b01-018-07.png	./data/lines/b01/b01-018/b01-018-07.pt	182	178	1713	which|five|citizens|are|coloured|for|every|one	46
b01-018-08	./data/lines/b01/b01-018/b01-018-08.png	./data/lines/b01/b01-018/b01-018-08.pt	172	89	434	who|is|white|.	14
b01-023-00	./data/lines/b01/b01-023/b01-023-00.png	./data/lines/b01/b01-023/b01-023-00.pt	172	152	1704	Seen|in|this|wider|picture|,|a|South|Africa|that|clings|to	58
b01-023-01	./data/lines/b01/b01-023/b01-023-01.png	./data/lines/b01/b01-023/b01-023-01.pt	172	106	1677	apartheid|is|a|menace|to|the|Commonwealth|and|a	47
b01-023-02	./data/lines/b01/b01-023/b01-023-02.png	./data/lines/b01/b01-023/b01-023-02.pt	182	181	1578	liability|to|the|whole|Western|world|.|A|practical	50
b01-023-03	./data/lines/b01/b01-023/b01-023-03.png	./data/lines/b01/b01-023/b01-023-03.pt	182	116	1729	solution|would|be|for|the|Commonwealth|to|draft	47
b01-023-04	./data/lines/b01/b01-023/b01-023-04.png	./data/lines/b01/b01-023/b01-023-04.pt	182	149	1697	a|set|of|principles|excluding|race|discrimination|.	51
b01-023-05	./data/lines/b01/b01-023/b01-023-05.png	./data/lines/b01/b01-023/b01-023-05.pt	172	186	1636	And|so|leave|South|Africa|to|make|the|grade|,	45
b01-023-06	./data/lines/b01/b01-023/b01-023-06.png	./data/lines/b01/b01-023/b01-023-06.pt	182	158	382	or|go|out|.	11
b01-027-00	./data/lines/b01/b01-027/b01-027-00.png	./data/lines/b01/b01-027/b01-027-00.pt	182	139	1797	THE|Queen|and|the|Duke|of|Edinburgh|come|home	45
b01-027-01	./data/lines/b01/b01-027/b01-027-01.png	./data/lines/b01/b01-027/b01-027-01.pt	182	127	1644	tonight|from|their|tour|in|the|East|.|The|duke's	48
b01-027-03	./data/lines/b01/b01-027/b01-027-03.png	./data/lines/b01/b01-027/b01-027-03.pt	189	159	1567	have|taken|the|headlines|in|this|country|.	42
b01-027-04	./data/lines/b01/b01-027/b01-027-04.png	./data/lines/b01/b01-027/b01-027-04.pt	182	114	1663	Nevertheless|,|the|tour|has|been|an|immense	43
b01-027-06	./data/lines/b01/b01-027/b01-027-06.png	./data/lines/b01/b01-027/b01-027-06.pt	182	118	1770	would|be|pleasanter|if|such|cruel|and|feudal	44
b01-027-07	./data/lines/b01/b01-027/b01-027-07.png	./data/lines/b01/b01-027/b01-027-07.pt	182	135	1700	performances|as|tiger|and|rhino|hunts|were	42
b01-027-08	./data/lines/b01/b01-027/b01-027-08.png	./data/lines/b01/b01-027/b01-027-08.pt	182	140	1670	dropped|from|future|Royal|programmes|.	38
b01-033-00	./data/lines/b01/b01-033/b01-033-00.png	./data/lines/b01/b01-033/b01-033-00.pt	182	139	1851	But|the|Queen|and|the|Duke|have|pleased|millions|by	51
b01-033-02	./data/lines/b01/b01-033/b01-033-02.png	./data/lines/b01/b01-033/b01-033-02.pt	182	145	1921	Pakistan|are|happy|memories|.|WEST|GERMANY|-|followed	53
b01-033-03	./data/lines/b01/b01-033/b01-033-03.png	./data/lines/b01/b01-033/b01-033-03.pt	189	137	1770	yesterday|by|the|Dutch|-|has|made|the|gesture	45
b01-033-04	./data/lines/b01/b01-033/b01-033-04.png	./data/lines/b01/b01-033/b01-033-04.pt	182	136	1723	of|a|good|neighbour|.|She|has|put|up|the|value	46
b01-033-05	./data/lines/b01/b01-033/b01-033-05.png	./data/lines/b01/b01-033/b01-033-05.pt	182	135	509	of|her|money|.	14
b01-038-00	./data/lines/b01/b01-038/b01-038-00.png	./data/lines/b01/b01-038/b01-038-00.pt	182	127	1724	Certainly|,|the|rise|is|very|small|.|But|it|is|a|step	53
b01-038-02	./data/lines/b01/b01-038/b01-038-02.png	./data/lines/b01/b01-038/b01-038-02.pt	189	138	1717	will|now|grow|brighter|of|further|international	47
b01-038-03	./data/lines/b01/b01-038/b01-038-03.png	./data/lines/b01/b01-038/b01-038-03.pt	189	130	1692	co-operation|,|which|is|the|only|way|to|solve|the	49
b01-038-04	./data/lines/b01/b01-038/b01-038-04.png	./data/lines/b01/b01-038/b01-038-04.pt	182	129	1885	payments|difficulties|that|upset|the|Western|world|.	52
b01-038-05	./data/lines/b01/b01-038/b01-038-05.png	./data/lines/b01/b01-038/b01-038-05.pt	182	112	1770	Britain|and|the|U.S.|,|which|have|problems|with	47
b01-038-06	./data/lines/b01/b01-038/b01-038-06.png	./data/lines/b01/b01-038/b01-038-06.pt	189	129	1825	their|balances|,|will|gain|some|immediate|help|.	48
b01-038-07	./data/lines/b01/b01-038/b01-038-07.png	./data/lines/b01/b01-038/b01-038-07.pt	189	117	1726	What|it|means|in|practical|terms|is|that|our	44
b01-038-08	./data/lines/b01/b01-038/b01-038-08.png	./data/lines/b01/b01-038/b01-038-08.pt	182	135	1728	exports|to|Germany|will|now|be|a|little|cheaper	47
b01-038-09	./data/lines/b01/b01-038/b01-038-09.png	./data/lines/b01/b01-038/b01-038-09.pt	182	136	1574	for|Germans|to|buy|,|while|the|goods|which	42
b01-038-10	./data/lines/b01/b01-038/b01-038-10.png	./data/lines/b01/b01-038/b01-038-10.pt	189	145	1731	Germany|exports|will|be|made|a|little|dearer|.	46
b01-044-00	./data/lines/b01/b01-044/b01-044-00.png	./data/lines/b01/b01-044/b01-044-00.pt	197	144	1747	Booming|Germany|is|deliberately|encouraging|more|imports	56
b01-044-01	./data/lines/b01/b01-044/b01-044-01.png	./data/lines/b01/b01-044/b01-044-01.pt	197	125	1694	as|a|means|to|curb|rising|prices|at|home|.|She|is	49
b01-044-03	./data/lines/b01/b01-044/b01-044-03.png	./data/lines/b01/b01-044/b01-044-03.pt	197	140	1731	by|failing|until|now|to|co-operate|as|a|creditor|nation	55
b01-044-04	./data/lines/b01/b01-044/b01-044-04.png	./data/lines/b01/b01-044/b01-044-04.pt	194	116	1791	should|.|Germany|exports|much|more|than|she|imports|.	53
b01-044-05	./data/lines/b01/b01-044/b01-044-05.png	./data/lines/b01/b01-044/b01-044-05.pt	194	103	1644	For|upwards|of|five|years|the|world's|reserves|of	49
b01-044-06	./data/lines/b01/b01-044/b01-044-06.png	./data/lines/b01/b01-044/b01-044-06.pt	197	156	1413	dollars|have|been|drained|into|Germany|.	40
b01-049-00	./data/lines/b01/b01-049/b01-049-00.png	./data/lines/b01/b01-049/b01-049-00.pt	201	104	1581	There|they|have|stayed|uselessly|locked|up|because	50
b01-049-01	./data/lines/b01/b01-049/b01-049-01.png	./data/lines/b01/b01-049/b01-049-01.pt	199	126	1750	Germany|has|no|tradition|of|trading|abroad|.|In|addition	56
b01-049-05	./data/lines/b01/b01-049/b01-049-05.png	./data/lines/b01/b01-049/b01-049-05.pt	197	113	1547	WILL|the|new|valuation|be|enough|to|correct	43
b01-049-07	./data/lines/b01/b01-049/b01-049-07.png	./data/lines/b01/b01-049/b01-049-07.pt	197	116	1623	off|speculation|against|dollar|and|pound|?	42
b01-053-02	./data/lines/b01/b01-053/b01-053-02.png	./data/lines/b01/b01-053/b01-053-02.pt	196	109	1597	share|in|giving|aid|to|underdeveloped|nations|,|the	51
b01-053-04	./data/lines/b01/b01-053/b01-053-04.png	./data/lines/b01/b01-053/b01-053-04.pt	190	117	1579	to|optimism|is|the|sign|that|Germany|and|the	44
